time,e11,e22,e33,e12,e13,e23,s11,s22,s33,s12,s13,s23
0,0,0,0,0,0,0,0,0,0,0,0,0
100,-0.00038876,-0.000389238,0.001,-0.00049093,-2.32771e-15,2.95012e-15,0,0,91.5658,0,0,0
200,-0.000885803,-0.000887757,0.002,-0.000990748,-5.74554e-15,-1.83196e-15,0,0,93.396,0,0,0
300,-0.00138231,-0.00138674,0.003,-0.00149056,-5.19247e-15,1.8848e-15,0,0,95.2527,0,0,0
400,-0.00187831,-0.00188622,0.004,-0.00199037,-1.84677e-15,6.25898e-15,0,0,97.1218,0,0,0
500,-0.00237381,-0.00238619,0.005,-0.00249018,-3.81595e-15,1.24587e-14,0,0,98.9915,0,0,0
600.444,-0.00287099,-0.00288887,0.00600444,-0.00299221,-1.282e-14,9.82991e-15,0,0,100.877,0,0,0
701,-0.00336825,-0.00339265,0.00701,-0.00349479,-1.35823e-14,1.59017e-14,0,0,102.739,0,0,0
801,-0.00386227,-0.00389415,0.00801,-0.0039946,-1.35499e-14,1.29353e-14,0,0,104.587,0,0,0
901,-0.00435578,-0.00439614,0.00901,-0.0044944,-1.05128e-14,1.00322e-14,0,0,106.446,0,0,0
1000.3,-0.00484535,-0.00489512,0.010003,-0.00499067,-1.66236e-14,6.52387e-15,0,0,108.265,0,0,0
1101,-0.0053414,-0.00540173,0.01101,-0.00549399,-1.27686e-14,-4.25954e-15,0,0,110.069,0,0,0
1200.44,-0.00583075,-0.00590249,0.0120044,-0.005991,-1.45303e-14,-3.76783e-15,0,0,111.858,0,0,0
1300.44,-0.00632236,-0.00640657,0.0130044,-0.00649078,-1.30136e-14,-5.73989e-15,0,0,113.637,0,0,0
1400.67,-0.00681459,-0.00691231,0.0140067,-0.00699168,-1.3629e-14,-1.17023e-14,0,0,115.387,0,0,0
1500.67,-0.00730525,-0.00741744,0.0150067,-0.00749145,-1.34349e-14,-1.39378e-14,0,0,117.12,0,0,0
1600.37,-0.00779398,-0.0079216,0.0160037,-0.00798974,-1.35502e-14,-1.76087e-14,0,0,118.835,0,0,0
1700.44,-0.00828406,-0.00842816,0.0170044,-0.00848988,-2.18944e-14,-3.07061e-14,0,0,120.524,0,0,0
1800.72,-0.00877465,-0.00893627,0.0180072,-0.008991,-5.91398e-14,-6.2206e-14,0,0,122.19,0,0,0
