time,e11,e22,e33,e12,e13,e23,s11,s22,s33,s12,s13,s23
471,-0.00223778,-0.00223778,0.00471,-3.56975e-15,-3.19864e-15,-6.61583e-16,0,0,96.6964,0,0,0
480.296,-0.00228405,-0.00228405,0.00480296,-2.67346e-15,-3.20159e-15,-6.7333e-16,0,0,96.8677,0,0,0
491,-0.00233736,-0.00233736,0.00491,-2.73552e-15,-3.40962e-15,-1.30937e-15,0,0,97.04,0,0,0
500.556,-0.00238493,-0.00238493,0.00500556,-2.52433e-15,-3.5211e-15,-2.02636e-15,0,0,97.2119,0,0,0
511,-0.00243695,-0.00243695,0.00511,-2.17679e-15,-3.69059e-15,-1.5032e-15,0,0,97.3834,0,0,0
520.667,-0.00248507,-0.00248507,0.00520667,-2.13282e-15,-3.14952e-15,-1.07071e-15,0,0,97.5552,0,0,0
530.556,-0.00253431,-0.00253431,0.00530556,-2.20675e-15,-4.08149e-15,-2.36696e-16,0,0,97.7269,0,0,0
541,-0.00258632,-0.00258632,0.00541,-2.59834e-15,-4.21297e-15,-2.7293e-16,0,0,97.8984,0,0,0
551,-0.00263611,-0.00263611,0.00551,-3.81632e-15,-4.09137e-15,-3.40373e-16,0,0,98.0703,0,0,0
561,-0.0026859,-0.0026859,0.00561,-3.12818e-15,-3.8042e-15,-6.82917e-16,0,0,98.2419,0,0,0
571,-0.0027357,-0.0027357,0.00571,-3.58135e-15,-3.68735e-15,-6.8248e-16,0,0,98.4131,0,0,0
580.556,-0.00278327,-0.00278327,0.00580556,-3.2463e-15,-3.94037e-15,-1.01636e-15,0,0,98.5848,0,0,0
590.667,-0.00283362,-0.00283362,0.00590667,-2.76367e-15,-4.0099e-15,-1.37095e-15,0,0,98.7557,0,0,0
600.667,-0.00288341,-0.00288341,0.00600667,-2.92937e-15,-3.78549e-15,-8.80199e-16,0,0,98.9272,0,0,0
611,-0.00293487,-0.00293487,0.00611,-3.00854e-15,-4.03296e-15,-9.50425e-16,0,0,99.099,0,0,0
621,-0.00298466,-0.00298466,0.00621,-3.40657e-15,-3.5642e-15,-5.64563e-16,0,0,99.2703,0,0,0
631,-0.00303445,-0.00303445,0.00631,-3.97466e-15,-3.14181e-15,-7.56655e-16,0,0,99.4416,0,0,0
641,-0.00308424,-0.00308424,0.00641,-4.38532e-15,-2.79289e-15,-1.06719e-15,0,0,99.6128,0,0,0
651,-0.00313404,-0.00313404,0.00651,-4.16924e-15,-2.1767e-15,-1.31444e-15,0,0,99.7841,0,0,0
661,-0.00318383,-0.00318383,0.00661,-4.54357e-15,-2.30004e-15,-1.75854e-15,0,0,99.9551,0,0,0
671,-0.00323362,-0.00323362,0.00671,-4.36103e-15,-1.74957e-15,-2.00745e-15,0,0,100.126,0,0,0
681,-0.00328341,-0.00328341,0.00681,-4.41834e-15,-1.08437e-15,-2.55324e-15,0,0,100.297,0,0,0
691,-0.00333321,-0.00333321,0.00691,-4.60381e-15,-1.49405e-15,-2.36909e-15,0,0,100.468,0,0,0
701,-0.003383,-0.003383,0.00701,-4.41967e-15,-1.65623e-15,-2.38711e-15,0,0,100.639,0,0,0
711,-0.00343279,-0.00343279,0.00711,-3.79049e-15,-1.91716e-15,-2.78502e-15,0,0,100.81,0,0,0
721,-0.00348258,-0.00348258,0.00721,-3.38284e-15,-1.86009e-15,-3.06e-15,0,0,100.98,0,0,0
731,-0.00353238,-0.00353238,0.00731,-3.89977e-15,-2.67854e-15,-2.28439e-15,0,0,101.149,0,0,0
740.11,-0.00357772,-0.00357772,0.0074011,-3.92896e-15,-3.36805e-15,-2.19894e-15,0,0,101.318,0,0,0
751,-0.00363197,-0.00363197,0.00751,-4.04057e-15,-2.81681e-15,-2.12598e-15,0,0,101.49,0,0,0
761,-0.00368176,-0.00368176,0.00761,-3.25607e-15,-2.47976e-15,-1.8768e-15,0,0,101.659,0,0,0
771,-0.00373156,-0.00373156,0.00771,-3.31022e-15,-2.1298e-15,-1.70901e-15,0,0,101.828,0,0,0
781,-0.00378135,-0.00378135,0.00781,-3.44399e-15,-2.12606e-15,-1.63534e-15,0,0,101.997,0,0,0
791,-0.00383115,-0.00383115,0.00791,-3.28719e-15,-1.99019e-15,-2.18033e-15,0,0,102.166,0,0,0
801,-0.00388094,-0.00388094,0.00801,-4.33023e-15,-1.42036e-15,-1.34962e-15,0,0,102.337,0,0,0
811,-0.00393073,-0.00393073,0.00811,-5.62668e-15,-1.12142e-15,-1.57013e-15,0,0,102.507,0,0,0
821,-0.00398053,-0.00398053,0.00821,-4.72848e-15,-1.40204e-15,-1.70217e-15,0,0,102.678,0,0,0
831,-0.00403032,-0.00403032,0.00831,-4.96038e-15,-1.51467e-15,-2.05239e-15,0,0,102.849,0,0,0
